,time,high,low,open,volume,volumeto,close,conversionType,conversionSymbol,Date,Sentiment,BMSB,SMA,RSI
50,1483228800,1001.61,956.1,963.38,41148.52,40570922.99,995.44,direct,,2017-01-01,0.2764082,0.0,863.332380952381,84.00235173204854
51,1483315200,1031.68,990.2,995.44,64951.63,66038073.34,1017.05,direct,,2017-01-02,0.2025913,0.0,874.6933333333334,85.62387644644522
52,1483401600,1035.47,1006.53,1017.05,54788.01,56085870.7,1033.3,direct,,2017-01-03,0.1706213,0.0,886.8152380952381,86.71439265032744
53,1483488000,1148.54,1022.32,1033.3,156272.17,170584623.04,1135.41,direct,,2017-01-04,0.2074345,0.0,903.9061904761904,91.22089885508912
54,1483574400,1150.63,874.53,1135.41,240007.84,244839289.77,989.35,direct,,2017-01-05,0.1837553,0.0,914.1033333333335,59.9142590397646
55,1483660800,1027.42,852.55,989.35,194290.96,179160668.84,886.16,direct,,2017-01-06,0.1706752,0.0,919.0609523809525,47.50892840957701
56,1483747200,900.86,806.66,886.16,130663.09,113037531.71,888.87,direct,,2017-01-07,0.1225618,0.0,923.9038095238095,47.814521956277964
57,1483833600,936.13,875.85,888.87,76905.99,70298340.37,900.86,direct,,2017-01-08,0.1435009,0.0,929.2300000000001,49.223032416941614
58,1483920000,910.47,870.91,900.86,62579.5,55963281.18,899.78,direct,,2017-01-09,0.1849665,0.0,934.467619047619,49.09449414533036
59,1484006400,911.32,890.12,899.78,53709.46,48644106.82,904.37,direct,,2017-01-10,0.2246717,0.0,939.4804761904762,49.69572683069942
60,1484092800,917.65,751.63,904.37,194436.54,160194109.8,785.43,direct,,2017-01-11,0.2822053,0.0,937.3957142857141,37.37665070333369
61,1484179200,828.21,739.55,785.43,120241.76,93986701.88,810.11,direct,,2017-01-12,0.3127291,0.0,935.0128571428571,40.6635224483481
62,1484265600,835.05,771.0,810.11,89861.97,72555875.62,824.83,direct,,2017-01-13,0.2476967,0.0,930.6157142857143,42.598677220624765
63,1484352000,838.9,808.27,824.83,44207.74,36594482.0,819.63,direct,,2017-01-14,0.2688094,0.0,927.2138095238095,42.076623680869304
64,1484438400,826.43,808.63,819.63,24401.41,20004735.1,821.17,direct,,2017-01-15,0.2685172,0.0,923.8852380952382,42.30214140849223
65,1484524800,836.66,817.7,821.17,33222.93,27592899.17,827.34,direct,,2017-01-16,0.3861817,0.0,920.5023809523809,43.25537788548283
66,1484611200,906.38,825.04,827.34,82207.99,72272727.15,899.66,direct,,2017-01-17,0.1851619,0.0,919.2585714285715,53.04714171591704
67,1484697600,913.67,845.87,899.66,69258.17,61042392.11,872.03,direct,,2017-01-18,0.1512814,0.0,914.49,49.53059101888254
68,1484784000,905.28,870.71,872.03,58440.87,52300814.98,895.21,direct,,2017-01-19,0.08998437,0.0,910.8771428571428,52.382518923827334
69,1484870400,901.49,878.9,895.21,38865.48,34847130.33,892.91,direct,,2017-01-20,0.116274,0.0,907.7280952380951,52.068119814583525
70,1484956800,928.93,889.46,892.91,40378.21,37129176.59,919.84,direct,,2017-01-21,0.1031066,0.0,905.6547619047619,55.44044159426577
71,1485043200,938.38,888.62,919.84,47927.32,44074299.79,918.84,direct,,2017-01-22,0.1731622,0.0,902.0071428571428,55.28489540900341
72,1485129600,927.98,910.85,918.84,32744.43,30261054.5,921.46,direct,,2017-01-23,0.1242528,0.0,897.4552380952382,55.63609052599371
73,1485216000,925.61,889.15,921.46,58874.32,53468911.31,893.75,direct,,2017-01-24,0.1518307,0.0,890.8100000000001,51.067726919305144
74,1485302400,905.7,883.63,893.75,37902.18,34014866.15,894.41,direct,,2017-01-25,0.1778394,0.0,879.3338095238096,51.17057064470479
75,1485388800,919.32,893.49,894.41,33800.2,30795685.98,915.56,direct,,2017-01-26,0.3420988,0.0,875.8199999999999,54.47278040751476
76,1485475200,922.56,907.92,915.56,30968.49,28503144.41,918.01,direct,,2017-01-27,0.4085939,0.0,877.3366666666667,54.853658476583455
77,1485561600,921.89,912.84,918.01,14307.36,13251844.02,918.51,direct,,2017-01-28,0.3737412,0.0,878.7480952380952,54.936515287584555
78,1485648000,922.4,912.68,918.51,11052.31,10214368.33,914.55,direct,,2017-01-29,0.2764976,0.0,879.3999999999999,54.08981249450079
79,1485734400,922.35,911.51,914.55,19062.15,17604172.47,920.73,direct,,2017-01-30,0.3263004,0.0,880.397619047619,55.24899196085562
80,1485820800,967.45,917.38,920.73,54670.21,51869216.53,965.49,direct,,2017-01-31,0.3240724,0.0,883.3080952380953,62.61206881776036
81,1485907200,986.57,959.82,965.49,45223.3,44035816.37,982.43,direct,,2017-02-01,0.3585993,0.0,892.6890476190476,64.96173981377677
82,1485993600,1009.13,973.5,982.43,50863.87,50633910.56,1003.97,direct,,2017-02-02,0.3318795,0.0,901.9204761904763,67.73813961821568
