,time,high,low,open,volume,volumeto,close,conversionType,conversionSymbol,Date,Sentiment,BMSB,SMA,RSI,OBV
14,1452816000,430.15,364.71,429.13,268141.73,107060613.39,372.26,direct,,2016-01-15,0.158877723,0.0,0.0,16.938342425637273,-563577.9099999999
15,1452902400,386.72,350.39,372.26,183962.03,68297105.65,385.04,direct,,2016-01-16,0.209056889,0.0,0.0,27.06224222771428,-379615.8799999999
16,1452988800,390.72,377.71,385.04,66089.34,25464382.4,382.47,direct,,2016-01-17,0.34163054,0.0,0.0,26.36628407855285,-445705.21999999986
17,1453075200,387.29,373.21,382.47,69301.33,26546465.91,384.4,direct,,2016-01-18,0.283067196,0.0,0.0,27.866538752241865,-376403.88999999984
18,1453161600,386.69,375.89,384.4,66345.24,25417876.87,379.46,direct,,2016-01-19,0.31219861,0.0,0.0,26.384720008780263,-442749.12999999983
19,1453248000,425.72,374.05,379.46,190316.94,76873917.15,414.58,direct,,2016-01-20,0.320653555,0.0,0.0,47.683787561276915,-252432.18999999983
20,1453334400,423.42,403.86,414.58,89938.22,37264942.18,410.24,direct,,2016-01-21,0.311228463,0.0,422.89000000000004,45.915817723433165,-342370.4099999998
21,1453420800,411.49,374.9,410.24,144856.97,56548790.09,382.65,direct,,2016-01-22,0.288581768,0.0,420.4452380952381,36.62031577411873,-487227.3799999998
22,1453507200,395.43,380.27,382.65,61383.14,23908533.75,388.61,direct,,2016-01-23,0.214029033,0.0,418.29714285714294,39.471026028781615,-425844.23999999976
23,1453593600,405.4,385.53,388.61,64535.73,25770175.58,402.13,direct,,2016-01-24,0.343686074,0.0,416.93666666666667,45.46349040879191,-361308.5099999998
24,1453680000,403.78,386.85,402.13,67659.06,26793044.72,392.76,direct,,2016-01-25,0.316990165,0.0,415.0052380952381,42.335305411706344,-428967.5699999998
25,1453766400,397.74,387.9,392.76,56805.12,22384754.5,389.78,direct,,2016-01-26,0.354248941,0.0,413.03285714285715,41.3605902137872,-485772.68999999977
26,1453852800,397.37,389.35,389.78,43678.72,17297117.36,395.02,direct,,2016-01-27,0.39146362,0.0,411.3280952380952,43.810390930626816,-442093.96999999974
27,1453939200,395.42,376.71,395.02,77319.55,29717813.05,379.69,direct,,2016-01-28,0.259735773,0.0,407.64428571428573,38.71460110769609,-519413.5199999997
28,1454025600,385.75,363.49,379.69,138455.81,51927041.84,380.29,direct,,2016-01-29,0.342757174,0.0,404.1880952380953,39.01359422868243,-380957.70999999973
